,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
32,Gorom-Gorom,24,BF,1533842240,59,14.45,-0.24,87.3,5.61
33,Tiksi,0,RU,1533842240,95,71.64,128.87,44.46,2.59
34,Codrington,0,AU,1533842240,93,-28.95,153.24,39.69,2.71
35,Petropavlovsk-Kamchatskiy,40,RU,1533837600,93,53.05,158.65,44.6,4.47
36,Busselton,68,AU,1533842240,100,-33.64,115.35,53.1,17.81
37,Guerrero Negro,20,MX,1533842240,52,27.97,-114.04,89.1,4.61
38,Nikolskoye,0,RU,1533839400,64,59.7,30.79,71.6,8.95
39,Alyangula,20,AU,1533842241,100,-13.85,136.42,73.26,6.62
40,Ushuaia,40,AR,1533837600,61,-54.81,-68.31,48.2,16.11
41,Concordia,75,AR,1533837600,66,-31.4,-58.02,55.4,19.46
42,Racine,20,US,1533840900,70,42.73,-87.78,87.8,8.05
43,Narsaq,75,GL,1533840600,59,60.91,-46.05,60.8,4.7
44,Formiga,64,BR,1533842241,59,-20.46,-45.43,77.22,13.0
45,Puttlingen,75,DE,1533841200,68,49.29,6.89,71.6,18.34
46,Saskylakh,0,RU,1533842242,83,71.97,114.09,53.1,3.38
47,Fortuna,0,ES,1533841200,78,38.18,-1.13,89.6,2.24
48,Tuktoyaktuk,90,CA,1533841200,93,69.44,-133.03,41.0,11.41
49,Laguna,75,MX,1533836760,52,27.52,-110.01,89.6,4.7
50,Punta Arenas,40,CL,1533837600,46,-53.16,-70.91,53.6,21.92
51,Port Elizabeth,20,US,1533840960,58,39.31,-74.98,89.6,9.17
52,Arica,40,CL,1533837600,63,-18.48,-70.32,69.8,10.29
53,Beloeil,20,CA,1533837600,61,45.57,-73.2,80.6,16.11
54,Arraial do Cabo,20,BR,1533837600,65,-22.97,-42.02,82.4,12.75
55,Takoradi,0,GH,1533842246,93,4.89,-1.75,77.85,9.19
56,Wattegama,88,LK,1533842246,95,7.35,80.68,70.83,5.39
57,Leningradskiy,88,RU,1533842246,100,69.38,178.42,33.84,12.66
58,Vaini,100,IN,1533842138,100,15.34,74.49,67.5,4.61
59,New Norfolk,75,AU,1533841200,66,-42.78,147.06,51.8,16.11
60,Lufilufi,100,WS,1533842246,100,-13.87,-171.6,74.88,8.08
61,Komsomolskiy,68,RU,1533842247,87,67.55,63.78,50.4,12.66
62,Katsuura,68,JP,1533842247,87,33.93,134.5,79.83,1.03
63,Puerto Ayora,75,EC,1533837600,57,-0.74,-90.35,80.6,19.46
64,Hermanus,68,ZA,1533842205,78,-34.42,19.24,48.69,6.4
65,Tautira,20,PF,1533841200,74,-17.73,-149.15,80.6,9.17
66,Mar del Plata,76,AR,1533841981,46,-46.43,-67.52,53.1,14.23
67,Cabra,0,ES,1533841200,25,37.47,-4.43,87.8,5.82
68,Satinka,0,RU,1533842207,54,52.38,41.68,61.74,9.08
69,Saint-Philippe,1,CA,1533840900,48,45.36,-73.48,82.4,6.93
70,Airai,0,TL,1533842248,98,-8.93,125.41,63.36,1.92
71,Aklavik,90,CA,1533841200,75,68.22,-135.01,42.8,5.82
72,Kakamigahara,75,JP,1533839400,83,35.4,136.85,82.4,4.7
73,Valdivia,75,CL,1533837600,93,-39.81,-73.25,46.4,1.59
74,Thompson,20,CA,1533841200,47,55.74,-97.86,80.6,12.75
75,Hobart,75,AU,1533841200,66,-42.88,147.33,51.8,16.11
76,Klaksvik,76,FO,1533840600,87,62.23,-6.59,50.0,14.99
77,Okakarara,0,NA,1533842249,18,-20.59,17.46,66.78,14.23
78,Goderich,80,CA,1533842249,90,43.74,-81.71,73.35,11.77
79,Shieli,0,KZ,1533842249,49,44.18,66.74,76.41,2.93
80,Sungaipenuh,64,ID,1533842249,93,-2.08,101.38,64.98,1.03
81,Port Alfred,92,ZA,1533842249,100,-33.59,26.89,55.53,10.2
82,Ribeira Grande,20,PT,1533841200,78,38.52,-28.7,75.2,4.7
83,Tasiilaq,40,GL,1533837000,70,65.61,-37.64,48.2,6.93
84,Sistranda,75,NO,1533840600,87,63.73,8.83,57.2,6.93
85,Marechal Candido Rondon,0,BR,1533842250,76,-24.56,-54.06,59.22,15.57
86,Kieta,76,PG,1533842250,100,-6.22,155.63,76.14,3.94
87,Kavieng,24,PG,1533842235,100,-2.57,150.8,82.53,6.62
88,Vila Velha,0,BR,1533841200,69,-3.71,-38.6,82.4,18.34
89,Clyde River,90,CA,1533841200,86,70.47,-68.59,41.0,14.99
90,Kodiak,1,US,1533840780,52,39.95,-94.76,91.4,8.05
91,Thohoyandou,92,ZA,1533842254,100,-22.97,30.46,57.51,3.15
92,Morrinhos,80,BR,1533842254,58,-17.73,-49.11,87.12,6.06
93,Springhill,88,CA,1533842254,85,45.64,-64.06,77.22,9.75
94,Butaritari,48,KI,1533842254,100,3.07,172.79,82.08,7.96
95,Zhigansk,76,RU,1533842255,80,66.77,123.37,59.85,6.73
96,Victoria,75,BN,1533841200,94,5.28,115.24,78.8,1.12
97,Upernavik,92,GL,1533842172,97,72.79,-56.15,39.33,18.03
98,Kampot,80,KH,1533842255,90,10.62,104.18,75.6,8.41
99,Touros,76,BR,1533842093,97,-5.2,-35.46,75.42,15.01
100,Hami,56,CN,1533842255,46,42.84,93.51,75.96,0.47
101,Hithadhoo,20,MV,1533842255,100,-0.6,73.08,83.07,6.73
102,Barrow,0,AR,1533842138,100,-38.31,-60.23,50.04,10.09
103,Ostrovnoy,80,RU,1533842256,88,68.05,39.51,61.74,21.5
104,Mackay,40,CA,1533841200,54,53.65,-115.58,82.4,3.36
105,Kajansi,12,UG,1533842256,96,0.21,32.52,71.91,4.94
106,Talnakh,76,RU,1533842256,88,69.49,88.39,52.11,16.46
107,Avarua,20,CK,1533841200,83,-21.21,-159.78,69.8,4.7
108,Saint George,20,GR,1533840600,64,39.45,22.34,71.6,3.36
109,Jamestown,0,AU,1533842257,48,-33.21,138.6,53.37,21.27
110,Chokurdakh,0,RU,1533842257,79,70.62,147.9,38.07,10.98
111,Winnemucca,1,US,1533840960,7,40.97,-117.74,100.4,9.17
112,Lagoa,0,PT,1533841200,32,37.14,-8.45,84.2,10.29
113,Gizo,20,IL,1533840600,74,31.8,34.94,82.4,5.82
114,Palenque,44,MX,1533842258,76,17.51,-91.98,80.28,7.63
115,Malazgirt,68,TR,1533842258,55,39.15,42.54,66.42,4.05
116,Havre-Saint-Pierre,90,CA,1533840000,93,50.23,-63.6,64.4,5.82
117,Lompoc,1,US,1533840960,57,34.64,-120.46,91.4,10.29
118,Kalmunai,80,LK,1533842259,84,7.42,81.82,76.5,2.93
119,Novoagansk,92,RU,1533842259,79,61.94,76.66,58.5,4.16
120,Alofi,0,NU,1533841200,93,-19.06,-169.92,62.6,5.17
121,Den Helder,75,NL,1533840900,93,52.96,4.76,62.6,11.41
122,Batagay-Alyta,32,RU,1533842259,80,67.8,130.41,47.97,0.69
123,Tuatapere,24,NZ,1533842259,100,-46.13,167.69,43.2,8.97
124,Mataura,8,NZ,1533842259,85,-46.19,168.86,34.38,5.95
125,Bajina Basta,0,BA,1533841200,73,43.97,19.57,69.8,3.36
126,Ixtapa,40,MX,1533836700,70,20.71,-105.21,87.8,6.93
127,Yellowknife,75,CA,1533837600,59,62.45,-114.38,64.4,8.05
128,El Dorado,12,VE,1533842260,64,6.71,-61.64,87.48,2.93
129,Broome,40,GB,1533840960,93,52.47,1.45,57.2,4.7
130,Ilulissat,75,GL,1533840600,93,69.22,-51.1,39.2,3.36
131,The Valley,20,AI,1533837600,62,18.22,-63.06,87.8,11.41
132,Khuchni,92,RU,1533842261,97,41.95,47.95,63.99,3.04
133,Daru,92,SL,1533842261,94,7.99,-10.85,72.36,7.07
134,Tevriz,12,RU,1533842261,99,57.51,72.4,62.01,3.04
135,Shelton,1,US,1533841080,50,47.22,-123.1,82.4,3.36
136,Meulaboh,24,ID,1533842264,100,4.14,96.13,79.38,0.58
137,Khatanga,20,RU,1533842264,83,71.98,102.47,57.6,9.08
138,Qaanaaq,24,GL,1533842264,97,77.48,-69.36,36.45,1.48
139,Hamilton,40,BM,1533837300,70,32.3,-64.78,84.2,16.11
140,Nirsa,88,IN,1533842265,96,23.78,86.71,78.3,3.94
141,Faanui,76,PF,1533842265,92,-16.48,-151.75,82.35,8.97
142,Byron Bay,24,AU,1533841200,71,-28.65,153.62,53.6,4.7
143,Pringsewu,48,ID,1533842265,84,-5.36,104.98,74.52,2.37
144,Souillac,0,FR,1533841200,60,45.6,-0.6,69.8,10.29
145,Chuy,100,UY,1533842192,83,-33.69,-53.46,55.53,28.77
146,Namatanai,68,PG,1533842265,100,-3.66,152.44,80.91,9.19
147,San Ignacio,90,CL,1533837600,71,-36.8,-72.03,53.6,5.82
148,Verkhniy baskunchak,0,KZ,1533842266,34,48.23,46.72,68.4,11.21
149,Kapaa,90,US,1533842100,94,22.08,-159.32,82.4,16.11
150,Victor Harbor,0,AU,1533841380,33,-35.55,138.62,59.0,20.8
151,Killybegs,92,IE,1533842266,99,54.63,-8.45,55.44,12.1
152,Wolomin,0,PL,1533841200,42,52.34,21.24,82.4,13.87
153,Gilgit,36,PK,1533842267,41,35.92,74.31,55.17,0.36
154,Sidi Ali,80,DZ,1533842267,42,36.1,0.42,85.68,3.04
155,Vardo,1,US,1533840900,48,39.62,-77.74,91.4,12.75
156,Saldanha,0,PT,1533842267,39,41.42,-6.55,75.6,3.6
157,Pasir Gudang,75,MY,1533841200,78,1.46,103.88,82.4,6.93
158,Isangel,12,VU,1533842268,100,-19.55,169.27,71.91,13.56
159,La Ronge,5,CA,1533837600,47,55.1,-105.3,80.6,13.87
160,Carman,20,CA,1533841200,39,49.51,-98.0,84.2,9.17
161,Homer,20,US,1533840780,82,59.64,-151.54,60.8,5.82
162,Ouargaye,36,BF,1533842269,80,11.5,0.06,80.91,10.09
163,Castro,100,CL,1533842269,100,-42.48,-73.76,47.52,3.6
164,Flinders,0,AU,1533837600,70,-34.58,150.85,46.4,10.29
165,Kota Kinabalu,75,MY,1533841200,78,5.98,116.07,77.0,5.82
166,Bethel,90,US,1533840780,87,60.79,-161.76,51.8,6.93
167,Washington DC.,75,US,1533840960,46,38.9,-77.04,91.4,11.41
168,Port Hedland,0,AU,1533841200,93,-20.31,118.58,55.4,4.7
169,Georgetown,75,GY,1533837600,70,6.8,-58.16,87.8,9.17
170,Luorong,44,CN,1533842271,87,24.41,109.6,77.04,2.15
171,Bontang,64,ID,1533842271,98,0.12,117.47,80.55,6.73
172,Bakaly,88,RU,1533842271,81,55.18,53.8,56.43,10.98
173,Hovd,0,NO,1533840600,63,63.83,10.7,64.4,4.7
174,Nkwerre,80,NG,1533842271,83,5.75,7.12,76.95,7.07
175,Rovaniemi,0,FI,1533840600,56,66.5,25.72,68.0,10.29
176,Port Shepstone,92,ZA,1533842135,100,-30.74,30.45,56.52,8.08
177,Kununurra,0,AU,1533841200,76,-15.77,128.74,48.2,5.06
178,Sanandaj,0,IR,1533841981,54,35.31,47.0,66.78,2.59
179,Kruisfontein,92,ZA,1533842272,100,-34.0,24.73,55.89,13.44
180,Yantal,0,RU,1533842272,100,56.85,105.25,46.8,3.38
181,Tazovskiy,88,RU,1533842272,94,67.47,78.7,49.23,21.5
182,Alice Springs,0,AU,1533841200,24,-23.7,133.88,55.4,5.82
183,Saba,36,HN,1533842275,75,15.52,-86.23,81.72,2.37
184,Paita,0,PE,1533837600,64,-5.09,-81.11,75.2,20.8
185,Auki,76,NG,1533842276,95,12.18,6.51,72.54,4.05
186,Ponta do Sol,8,BR,1533842238,69,-20.63,-46.0,70.65,8.75
187,Magna,0,FR,1533841200,68,43.5,0.96,68.0,9.17
188,Dwarka,32,IN,1533842276,86,28.58,77.04,81.63,4.94
189,Moyale,0,ET,1533842276,79,3.52,39.05,64.89,3.04
190,Iqaluit,75,CA,1533841200,81,63.75,-68.52,42.8,14.99
191,Emba,0,CY,1533841200,88,34.81,32.42,82.4,8.05
192,Fontem,88,CM,1533842277,100,5.49,9.85,63.36,1.59
193,Lazarev,24,RU,1533842277,99,52.23,141.51,55.98,5.06
194,Tarut,0,SA,1533841200,84,26.57,50.06,93.2,8.05
195,Provideniya,88,RU,1533842227,100,64.42,-173.23,47.34,5.06
196,Xinqing,80,CN,1533842277,80,48.28,129.53,60.84,2.37
197,Kavaratti,92,IN,1533842278,93,10.57,72.64,83.34,19.15
198,Piacabucu,0,BR,1533842278,46,-10.41,-36.43,84.51,12.21
199,Port Moresby,0,PG,1533841200,100,-9.47,147.16,73.4,9.17
200,Gaya,75,IN,1533841200,94,24.8,85.01,82.4,10.29
201,Maniitsoq,0,GL,1533842278,98,65.42,-52.9,46.08,6.73
202,Aleksandrovskoye,0,RU,1533842278,85,56.74,85.39,58.5,2.71
203,Cacequi,92,BR,1533842278,95,-29.88,-54.83,52.92,17.47
204,Santa Fe,0,AR,1533842231,74,-31.62,-60.7,54.0,10.2
205,Yulara,0,AU,1533841200,44,-25.24,130.99,37.4,7.74
206,Balkhash,0,KZ,1533842279,79,46.84,74.98,75.51,4.5
207,Kepno,8,PL,1533842279,51,51.28,17.99,86.04,8.41
208,Jumla,68,NP,1533842279,94,29.28,82.18,37.08,2.37
209,Sheridan,20,US,1533841080,25,39.65,-105.03,87.8,8.05
210,High Rock,75,BS,1533837600,88,26.63,-78.28,78.8,6.93
211,Bredasdorp,48,ZA,1533837600,76,-34.53,20.04,50.0,5.82
212,Kuala Pilah,75,MY,1533841200,94,2.74,102.25,78.8,1.03
213,Watsa,32,CD,1533842280,100,3.04,29.53,65.25,2.04
214,Praia da Vitoria,20,PT,1533841200,78,38.73,-27.07,77.0,6.06
215,Necochea,0,AR,1533842280,84,-38.55,-58.74,50.67,12.66
216,Derzhavinsk,56,KZ,1533842280,71,51.1,66.31,75.24,6.17
217,Ambilobe,0,MG,1533842281,50,-13.19,49.05,75.24,14.0
218,Port Lincoln,44,AU,1533842281,82,-34.72,135.86,59.22,20.71
219,Dzhebariki-Khaya,64,RU,1533842281,97,62.22,135.8,54.45,2.37
220,Rawson,32,AR,1533842281,57,-43.3,-65.11,50.22,20.27
221,Cidreira,48,BR,1533842281,93,-30.17,-50.22,53.55,23.29
222,Qarchi Gak,5,AF,1533840600,17,37.04,66.79,91.4,5.82
223,Shingu,12,JP,1533842030,95,33.72,135.99,82.53,7.63
224,San Rafael,8,AR,1533842249,34,-34.61,-68.33,57.33,11.43
225,Lukoyanov,0,RU,1533842285,68,55.03,44.48,56.88,6.06
226,Kinkala,44,CG,1533837600,61,-4.35,14.75,80.6,4.7
227,Yarkovo,0,RU,1533839400,82,54.81,82.6,60.8,2.24
228,Kropotkin,8,RU,1533842286,46,45.43,40.58,77.4,11.65
229,Chernyshevskiy,8,RU,1533842286,72,63.01,112.47,51.21,4.72
230,Barra do Garcas,20,BR,1533837600,38,-15.89,-52.26,93.2,2.24
231,Mosquera,40,CO,1533837600,63,4.71,-74.23,60.8,16.11
232,Weligama,64,LK,1533842286,91,5.97,80.42,79.02,12.44
233,Puerto Escondido,75,MX,1533836460,66,15.86,-97.07,86.0,5.82
234,Wanning,40,AT,1533840600,35,48.64,13.53,86.0,3.36
235,Lebu,75,ET,1533841200,72,8.96,38.73,59.0,121.91
236,Oktyabrskoye,0,RU,1533842287,85,56.73,85.44,58.5,2.71
237,Dongsheng,0,CN,1533842287,89,29.72,112.52,81.54,2.71
238,Luganville,32,VU,1533842287,100,-15.51,167.18,75.96,12.1
239,Severo-Yeniseyskiy,24,RU,1533842287,85,60.37,93.04,52.83,2.71
240,Ahipara,48,NZ,1533842288,100,-35.17,173.16,49.05,3.49
241,Torbay,75,CA,1533841200,63,47.66,-52.73,66.2,11.41
242,Son La,76,VN,1533842288,99,21.32,103.9,67.23,1.92
243,Porirua,20,NZ,1533841200,81,-41.14,174.84,50.0,9.17
244,Doha,20,QA,1533837600,79,25.29,51.53,93.2,6.93
245,Longyearbyen,75,NO,1533840600,81,78.22,15.63,42.8,11.41
246,Gushikawa,1,JP,1533840960,88,26.35,127.87,84.2,4.7
247,Bima,0,ID,1533842288,100,-8.45,118.73,70.65,3.49
248,Novi Knezevac,0,RS,1533840300,54,46.04,20.09,80.6,6.93
249,Belmonte,0,PT,1533842289,35,40.36,-7.35,74.43,9.64
250,Turbat,88,PK,1533842289,68,26.0,63.05,83.25,7.07
251,Cairns,20,AU,1533841200,82,-16.92,145.77,60.8,13.87
252,Lavrentiya,92,RU,1533842232,96,65.58,-170.99,45.36,26.31
253,Brigantine,1,US,1533840960,52,39.41,-74.36,89.6,11.41
254,Haines Junction,92,CA,1533842290,94,60.75,-137.51,46.26,2.48
255,La Asuncion,75,EC,1533837600,67,-1.64,-78.74,59.0,23.04
256,Yenotayevka,0,RU,1533842290,45,47.24,47.04,69.39,11.43
257,Champerico,40,MX,1533837180,58,16.38,-93.6,86.0,10.29
258,Rognan,40,NO,1533840600,82,67.1,15.4,59.0,16.11
259,Inuvik,75,CA,1533841200,70,68.36,-133.71,42.8,5.82
260,Gornyak,0,KZ,1533842290,53,51.0,81.46,63.27,4.61
261,Harper,1,US,1533840900,28,30.3,-99.24,96.8,4.5
262,Tiarei,20,PF,1533841200,74,-17.53,-149.33,80.6,9.17
263,Sao Felix do Xingu,24,BR,1533842291,43,-6.64,-51.99,91.26,3.94
264,Nelson Bay,0,AU,1533841200,100,-32.72,152.14,37.4,4.7
265,Teahupoo,20,PF,1533841200,74,-17.83,-149.27,80.6,9.17
266,Seoul,75,KR,1533841080,94,37.57,126.98,80.6,3.36
267,Santiago,0,CL,1533837600,15,-33.44,-70.65,77.0,2.15
268,Mount Isa,0,AU,1533841200,47,-20.73,139.49,37.4,8.52
269,Sur,76,OM,1533842295,99,22.57,59.53,80.91,6.73
270,Mount Gambier,64,AU,1533842247,53,-37.83,140.78,58.86,14.56
271,Kaseda,0,JP,1533842295,98,31.42,130.32,82.98,5.06
272,Sabzevar,0,IR,1533842296,28,36.21,57.68,69.93,3.71
273,Springfield,20,US,1533840720,41,37.22,-93.29,91.4,3.94
274,Mahebourg,40,MU,1533837600,82,-20.41,57.7,68.0,2.24
275,Port Hardy,20,CA,1533841200,77,50.7,-127.42,64.4,4.7
276,Bandarbeyla,36,SO,1533842297,85,9.49,50.81,80.1,34.81
277,San Andres,92,PH,1533842297,98,13.32,122.68,83.07,22.06
278,Buraydah,0,SA,1533837600,21,26.33,43.97,102.2,9.17
279,Coihaique,90,CL,1533837600,61,-45.58,-72.07,48.2,3.36
280,Bang Len,20,TH,1533839400,74,14.02,100.17,80.6,8.05
281,Sadon,92,RU,1533842297,93,42.85,44.0,49.86,1.7
282,Methoni,20,GR,1533840600,73,36.82,21.7,77.0,10.09
283,Felanitx,40,ES,1533841200,79,39.47,3.15,84.2,9.17
284,Vanimo,32,PG,1533842298,100,-2.67,141.3,83.7,8.08
285,Coquimbo,8,CL,1533837600,87,-29.95,-71.34,53.6,8.05
286,Luderitz,0,NA,1533842298,73,-26.65,15.16,55.71,18.14
287,Gainesville,90,US,1533839700,74,29.65,-82.33,91.4,5.82
288,Victoria,75,BN,1533841200,94,5.28,115.24,78.8,1.12
289,Road Town,40,VG,1533841200,58,18.42,-64.62,87.8,8.05
290,Lazurne,0,UA,1533842299,28,46.77,34.99,76.41,11.1
291,Seregelyes,0,HU,1533841200,61,47.11,18.57,78.8,6.93
292,Imeni Babushkina,12,RU,1533842299,82,59.76,43.13,59.4,6.17
293,Mitu,0,IR,1533842299,34,36.2,46.09,70.02,3.04
294,Saucillo,0,MX,1533842299,27,28.03,-105.29,88.02,4.05
295,Grand-Santi,0,GF,1533842299,50,4.27,-54.38,89.1,2.71
296,Lorengau,88,PG,1533842300,100,-2.02,147.27,81.45,12.44
297,Erzurum,40,TR,1533840600,63,39.91,41.27,62.6,9.17
298,Sinjai,68,ID,1533842300,100,-5.12,120.25,72.18,3.94
299,Salalah,90,OM,1533837000,88,17.01,54.1,78.8,3.36
300,Taltal,0,CL,1533842300,73,-25.41,-70.49,70.65,0.47
301,Esmeraldas,75,BR,1533837600,60,-19.76,-44.31,77.0,8.05
302,Kothapet,90,IN,1533841200,88,17.37,78.55,73.4,4.7
303,Raposa,20,PT,1533841200,60,39.11,-8.58,69.8,23.04
304,Chunskiy,76,RU,1533842301,74,56.08,99.63,61.11,2.59
305,Porbandar,92,IN,1533842186,93,21.64,69.61,78.3,10.09
306,Algiers,1,US,1533839940,78,29.94,-90.04,91.4,5.82
307,Muisne,44,EC,1533842301,80,0.61,-80.02,80.73,6.4
308,Omboue,0,GA,1533842301,100,-1.57,9.26,72.72,12.21
309,Vostok,80,RU,1533842302,82,46.45,135.83,62.28,2.04
310,Mecca,68,SA,1533842302,44,21.43,39.83,84.15,2.71
311,Vanavara,0,RU,1533842305,92,60.35,102.28,47.25,2.71
312,San Patricio,8,PY,1533842289,69,-26.98,-56.83,58.41,5.5
313,Boddam,92,GB,1533840600,62,57.47,-1.78,59.0,4.7
314,Schrobenhausen,0,DE,1533840600,44,48.56,11.27,80.6,10.29
315,Nouadhibou,0,MR,1533841200,73,20.93,-17.03,73.4,18.34
316,Banfora,80,BF,1533842306,85,10.64,-4.75,76.59,7.18
317,Paraiso,40,MX,1533836640,44,24.01,-104.61,75.2,4.7
318,Itarema,44,BR,1533842306,57,-2.92,-39.92,89.19,12.55
319,Havelock,40,US,1533840960,62,34.88,-76.9,89.6,8.05
320,Dingwall,20,GB,1533840600,67,57.6,-4.43,64.4,11.41
321,Inhambane,75,MZ,1533837600,88,-23.87,35.38,69.8,3.36
322,Matay,0,EG,1533842307,34,28.42,30.79,87.57,8.75
323,Saint Anthony,1,US,1533837360,26,43.97,-111.68,84.2,3.94
324,Chake Chake,0,TZ,1533842307,100,-5.25,39.77,76.95,14.0
325,Kaili,80,ID,1533842307,82,-3.46,120.21,68.58,1.92
326,Cabo San Lucas,40,MX,1533836880,78,22.89,-109.91,84.2,9.17
327,Grindavik,75,IS,1533839400,71,63.84,-22.43,50.0,9.17
328,Pochutla,90,MX,1533836580,49,15.74,-96.47,91.4,7.52
329,Muscatine,1,US,1533842100,43,41.42,-91.04,91.4,12.75
330,Sorland,75,NO,1533840600,93,67.67,12.69,55.4,12.75
331,Alice,1,US,1533840960,49,27.75,-98.07,96.8,6.93
332,Saint George,20,GR,1533840600,64,39.45,22.34,71.6,3.36
333,Antsohihy,0,MG,1533842308,39,-14.88,47.99,75.42,14.67
334,Bagenalstown,68,IE,1533842308,53,52.7,-6.96,61.38,11.99
335,Paamiut,0,GL,1533842309,90,61.99,-49.67,44.73,20.27
336,Salinas,1,US,1533840900,39,36.67,-121.66,84.2,4.7
337,Fengcheng,24,CN,1533842309,76,40.45,124.07,73.98,4.5
338,Yar-Sale,8,RU,1533842269,95,66.83,70.83,51.75,11.77
339,Okhotsk,20,RU,1533842309,100,59.36,143.24,54.36,2.37
340,Celina,1,US,1533840900,65,40.55,-84.57,82.4,10.29
341,Katangli,88,RU,1533842310,100,51.71,143.23,50.4,11.1
342,Salamiyah,0,SY,1533842310,44,35.01,37.05,78.48,12.55
343,Bulgan,56,MN,1533842310,100,48.81,103.53,53.73,2.59
344,Katobu,92,ID,1533842310,98,-4.94,122.53,78.93,4.61
345,Anadyr,0,RU,1533837600,100,64.73,177.51,37.4,6.71
346,Redmond,1,US,1533840960,47,47.67,-122.12,82.4,3.36
347,Dothan,75,US,1533841320,78,31.22,-85.39,87.8,8.05
348,Bermeo,75,ES,1533841200,68,43.42,-2.72,68.0,9.17
349,Basco,1,US,1533842100,46,40.33,-91.2,91.4,12.75
350,Namibe,24,AO,1533842314,98,-15.19,12.15,66.15,10.42
351,Havoysund,75,NO,1533840600,100,71.0,24.66,50.0,8.05
352,Muncie,1,US,1533839700,12,40.19,-85.39,82.4,9.17
353,Waddan,32,LY,1533842314,25,29.16,16.14,94.95,7.07
354,Baykit,64,RU,1533842315,77,61.68,96.39,50.13,5.06
355,Evensk,92,RU,1533842315,95,61.92,159.24,55.08,3.6
356,Snihurivka,0,UA,1533842315,32,47.07,32.8,76.23,10.65
357,Dunda,64,IN,1533842315,100,30.62,78.32,61.38,0.13
358,Golden,5,CA,1533841200,34,51.3,-116.96,80.6,5.82
359,Musafirkhana,0,IN,1533842315,85,26.37,81.8,82.8,6.51
360,Cap Malheureux,40,MU,1533837600,82,-19.98,57.61,68.0,2.24
361,Berlevag,75,NO,1533840600,100,70.86,29.09,48.2,14.99
362,Zhanaozen,88,KZ,1533842316,44,43.35,52.85,83.61,6.96
363,Torres,0,BR,1533842316,92,-29.34,-49.73,56.16,13.78
364,Kotma,92,IN,1533842316,94,23.2,81.98,74.7,3.38
365,Zhezkazgan,76,KZ,1533842317,54,47.8,67.71,79.83,4.94
366,Binzhou,0,CN,1533842317,91,37.38,117.96,73.98,2.93
367,Beirut,40,LB,1533837600,83,33.9,35.48,82.4,9.17
368,Norman Wells,90,CA,1533841200,87,65.28,-126.83,50.0,9.17
369,Sacama,68,EC,1533842318,69,-3.9,-79.27,63.09,4.05
370,Siwana,76,IN,1533842318,100,25.65,72.42,77.4,8.19
371,Kargopol,8,RU,1533842318,60,61.51,38.95,66.06,11.77
372,Rocha,56,UY,1533842318,79,-34.48,-54.34,52.29,22.5
373,Pecos,1,US,1533840900,43,31.42,-103.49,87.8,4.7
374,Mandera,0,ET,1533842318,34,3.94,41.86,86.13,15.12
